"S2504_C02_034M","Owner-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.",
"S2504_C02_035E","Owner-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Coal or coke",
"S2504_C02_035M","Owner-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Coal or coke",
"S2504_C02_036E","Owner-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!All other fuels",
"S2504_C02_036M","Owner-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!All other fuels",
"S2504_C02_037E","Owner-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!No fuel used",
"S2504_C02_037M","Owner-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!No fuel used",
"S2504_C03_001E","Renter-occupied housing units!!Estimate!!Occupied housing units",
"S2504_C03_001M","Renter-occupied housing units!!Margin of Error!!Occupied housing units",
"S2504_C03_002E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached",
"S2504_C03_002M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached",
"S2504_C03_003E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, attached",
"S2504_C03_003M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, attached",
"S2504_C03_004E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!2 apartments",
"S2504_C03_004M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!2 apartments",
"S2504_C03_005E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!3 or 4 apartments",
"S2504_C03_005M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!3 or 4 apartments",
"S2504_C03_006E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!5 to 9 apartments",
"S2504_C03_006M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!5 to 9 apartments",
"S2504_C03_007E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!10 or more apartments",
"S2504_C03_007M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!10 or more apartments",
"S2504_C03_008E","Renter-occupied housing units!!Estimate!!UNITS IN STRUCTURE!!Mobile home or other type of housing",
"S2504_C03_008M","Renter-occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!Mobile home or other type of housing",
"S2504_C03_009E","Renter-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!2010 or later",
"S2504_C03_009M","Renter-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!2010 or later",
