PIN,Line#,Ngrhd,TypeDescr,MethodDescr,Acres,SqrFt,ActFrnt,EffFrnt,EffDpth,Cat,Value,ValMethod,SoilID,SiteRating,LandUnit,System,lrsn
F38120020160,1,30170,City  Lot,32  Site Value (lump sum,0.21,9122,92,92,98,20H,5958,Cost,,P,AC,PV,20120
F3300007001A,1,30090,City  Lot,32  Site Value (lump sum,0.14,6240,80,80,78,20H,22600,Cost,,F,AC,PV,1625
P1420000012C,1,10040,City  Lot,29  Per Square Foot (brea,0.095,4140,69,69,60,20H,4432,Cost,,,AC,PV,2973
F3540003000G,1,30092,City  Lot,32  Site Value (lump sum,0.45,19576,0,0,0,20H,22400,Cost,,EX,AC,PV,115
P13400020130,1,10040,City  Lot,29  Per Square Foot (brea,0.2258,9835,50,50,196,20H,20681,Cost,,AV,AC,PV,2896
N5480018001C,1,50050,City  Lot,49  User Definable Land F,0.0861,3750,0,0,0,20,11000,Cost,,VP,AC,PV,5372
P18800020070,1,10010,City  Lot,32  Site Value (lump sum,0.28,12406,103.38,103,120,20H,28530,Cost,,G,AC,PV,1263
P1710049000E,1,10030,City  Lot,29  Per Square Foot (brea,0.2008,8747.84,0,0,0,20H,24260,Cost,,AV,AC,PV,3885
P1480002001A,1,10030,City  Lot,29  Per Square Foot (brea,0.3914,17050,110,110,155,20H,32063,Cost,,EX,AC,PV,3182
P18550050170,1,10010,City  Lot,32  Site Value (lump sum,0.2,8905,75,75,119,20H,22824,Cost,,G,AC,PV,702221
P18100110000,1,10030,City  Lot,29  Per Square Foot (brea,0.45,19800,90,90,220,20H,34303,Cost,,EX,AC,PV,4182
N5480025008A,1,50050,City  Lot,49  User Definable Land F,0.3444,15000,100,100,150,20,27200,Cost,,G,AC,PV,2193
N52000000020,1,50050,City  Lot,49  User Definable Land F,0.36,15876,92,92,172,20H,28200,Cost,,,AC,PV,702161
N5480022019B,1,50050,City  Lot,49  User Definable Land F,0.0637,2775,37,37,75,20H,9000,Cost,,P,AC,PV,20452
P1940028000F,1,10040,Homesite,33  Per Acre (by site rat,1,43560,85.88,117,630,20H,41445,Cost,,AV,AC,PV,14636
P18800010080,1,10010,City  Lot,32  Site Value (lump sum,0.31,13660,0,0,0,20H,27000,Cost,,F,AC,PV,5387
F35200010070,1,30090,City  Lot,32  Site Value (lump sum,0.2,8793,77.13,0,114,20H,25800,Cost,,G,AC,PV,1771
